wavelength [nm],transmission
756.4,0.89179
756.6,0.88463
756.8,0.87597
757,0.8663
757.2,0.85529
757.4,0.8424
757.6,0.8289
757.8,0.8172
758,0.80549
758.2,0.79311
758.4,0.77991
758.6,0.76599
758.8,0.75237
759,0.73713
759.2,0.71821
759.4,0.7023
759.6,0.68987
759.8,0.67561
760,0.66023
